Run,Fitness,Pairs,Execution_Time
1,-7,7,0.3744025230407715
2,-7,7,0.39511680603027344
3,-7,7,0.36733222007751465
4,-7,7,0.3901810646057129
5,-7,7,0.3590734004974365
6,-7,7,0.3819844722747803
7,-7,7,0.3653104305267334
8,-7,7,0.3624138832092285
9,-7,7,0.33400464057922363
10,-7,7,0.37253236770629883
11,-7,7,0.40471553802490234
12,-7,7,0.44701337814331055
13,-7,7,0.35198283195495605
14,-7,7,0.46918773651123047
15,-7,7,0.3696911334991455
16,-7,7,0.37271976470947266
17,-7,7,0.34327125549316406
18,-7,7,0.36393284797668457
19,-7,7,0.34623074531555176
20,-7,7,0.3671715259552002
