Run,Fitness,Pairs,Execution_Time
1,-7,7,0.3941977024078369
2,-7,7,0.3117713928222656
3,-7,7,0.4588921070098877
4,-7,7,0.4230036735534668
5,-7,7,0.34423232078552246
6,-7,7,0.3348507881164551
7,-7,7,0.32125186920166016
8,-6,6,0.3578498363494873
9,-7,7,0.3399021625518799
10,-7,7,0.5178296566009521
11,-7,7,0.7111907005310059
12,-7,7,0.6513786315917969
13,-7,7,0.6331832408905029
14,-7,7,0.49326539039611816
15,-7,7,0.4689018726348877
16,-7,7,0.4715595245361328
17,-7,7,0.5095372200012207
18,-7,7,0.33333539962768555
19,-7,7,0.4080514907836914
20,-7,7,0.5770747661590576
