Run,Fitness,Pairs,Execution_Time
1,-7,7,0.36060547828674316
2,-7,7,0.3628382682800293
3,-7,7,0.3842966556549072
4,-7,7,0.3650643825531006
5,-7,7,0.35754942893981934
6,-7,7,0.377244234085083
7,-7,7,0.3344547748565674
8,-7,7,0.388242244720459
9,-7,7,0.35708022117614746
10,-7,7,0.39616894721984863
11,-7,7,0.3604762554168701
12,-7,7,0.3661339282989502
13,-7,7,0.5770208835601807
14,-7,7,0.5457501411437988
15,-7,7,0.4349973201751709
16,-7,7,0.4883551597595215
17,-7,7,0.4563007354736328
18,-7,7,0.4278724193572998
19,-7,7,0.4470643997192383
20,-7,7,0.4487926959991455
