Run,Fitness,Pairs,Execution_Time
1,-7,7,0.4450840950012207
2,-7,7,0.39336609840393066
3,-7,7,0.36118316650390625
4,-7,7,0.3721170425415039
5,-7,7,0.40276265144348145
6,-7,7,0.3703725337982178
7,-7,7,0.37631940841674805
8,-7,7,0.3742070198059082
9,-7,7,0.36955976486206055
10,-7,7,0.3657360076904297
11,-7,7,0.3843421936035156
12,-7,7,0.4162900447845459
13,-7,7,0.480008602142334
14,-7,7,0.3885042667388916
15,-7,7,0.3399662971496582
16,-7,7,0.3728303909301758
17,-7,7,0.3727555274963379
18,-7,7,0.34960508346557617
19,-7,7,0.3954660892486572
20,-7,7,0.38660597801208496
